image,binary_label,attribution,split
ISIC_0015902.jpg,0,ACEMID MIA,test
ISIC_0051648.jpg,0,ACEMID MIA,test
ISIC_0051897.jpg,0,ACEMID MIA,test
ISIC_0052313.jpg,0,ACEMID MIA,test
ISIC_0070972.jpg,0,ACEMID MIA,test
ISIC_0073426.jpg,0,ACEMID MIA,test
ISIC_0073665.jpg,0,ACEMID MIA,test
ISIC_0074209.jpg,0,ACEMID MIA,test
ISIC_0075799.jpg,0,ACEMID MIA,test
ISIC_0075969.jpg,0,ACEMID MIA,test
ISIC_0075982.jpg,0,ACEMID MIA,test
ISIC_0076259.jpg,0,ACEMID MIA,test
ISIC_0076270.jpg,0,ACEMID MIA,test
ISIC_0076353.jpg,0,ACEMID MIA,test
ISIC_0076547.jpg,0,ACEMID MIA,test
ISIC_0076625.jpg,0,ACEMID MIA,test
ISIC_0076767.jpg,0,ACEMID MIA,test
ISIC_0077326.jpg,0,ACEMID MIA,test
ISIC_0077385.jpg,0,ACEMID MIA,test
ISIC_0077915.jpg,0,ACEMID MIA,test
ISIC_0078317.jpg,0,ACEMID MIA,test
ISIC_0078537.jpg,0,ACEMID MIA,test
ISIC_0078555.jpg,0,ACEMID MIA,test
ISIC_0078598.jpg,0,ACEMID MIA,test
ISIC_0079131.jpg,0,ACEMID MIA,test
ISIC_0079568.jpg,0,ACEMID MIA,test
ISIC_0079762.jpg,0,ACEMID MIA,test
ISIC_0080353.jpg,0,ACEMID MIA,test
ISIC_0081077.jpg,0,ACEMID MIA,test
ISIC_0081731.jpg,0,ACEMID MIA,test
ISIC_0081873.jpg,0,ACEMID MIA,test
ISIC_0081966.jpg,0,ACEMID MIA,test
ISIC_0082185.jpg,0,ACEMID MIA,test
ISIC_0083711.jpg,0,ACEMID MIA,test
ISIC_0084515.jpg,0,ACEMID MIA,test
ISIC_0084749.jpg,0,ACEMID MIA,test
ISIC_0085280.jpg,0,ACEMID MIA,test
ISIC_0085457.jpg,0,ACEMID MIA,test
ISIC_0085516.jpg,0,ACEMID MIA,test
ISIC_0085924.jpg,0,ACEMID MIA,test
ISIC_0086222.jpg,0,ACEMID MIA,test
ISIC_0086265.jpg,0,ACEMID MIA,test
ISIC_0086314.jpg,0,ACEMID MIA,test
ISIC_0086414.jpg,0,ACEMID MIA,test
ISIC_0086442.jpg,0,ACEMID MIA,test
ISIC_0087120.jpg,0,ACEMID MIA,test
ISIC_0087246.jpg,0,ACEMID MIA,test
ISIC_0087631.jpg,0,ACEMID MIA,test
ISIC_0087702.jpg,0,ACEMID MIA,test
ISIC_0087766.jpg,0,ACEMID MIA,test
ISIC_0087993.jpg,0,ACEMID MIA,test
ISIC_0088465.jpg,0,ACEMID MIA,test
ISIC_0088682.jpg,0,ACEMID MIA,test
ISIC_0088742.jpg,0,ACEMID MIA,test
ISIC_0088870.jpg,0,ACEMID MIA,test
ISIC_0088946.jpg,0,ACEMID MIA,test
ISIC_0089063.jpg,0,ACEMID MIA,test
ISIC_0089150.jpg,0,ACEMID MIA,test
ISIC_0089448.jpg,0,ACEMID MIA,test
ISIC_0089565.jpg,0,ACEMID MIA,test
ISIC_0089905.jpg,0,ACEMID MIA,test
ISIC_0090208.jpg,0,ACEMID MIA,test
ISIC_0090258.jpg,0,ACEMID MIA,test
ISIC_0090418.jpg,0,ACEMID MIA,test
ISIC_0090433.jpg,0,ACEMID MIA,test
ISIC_0090439.jpg,0,ACEMID MIA,test
ISIC_0090495.jpg,0,ACEMID MIA,test
ISIC_0090515.jpg,0,ACEMID MIA,test
ISIC_0090538.jpg,0,ACEMID MIA,test
ISIC_0090566.jpg,0,ACEMID MIA,test
ISIC_0091081.jpg,0,ACEMID MIA,test
ISIC_0091267.jpg,0,ACEMID MIA,test
ISIC_0091442.jpg,0,ACEMID MIA,test
ISIC_0091975.jpg,0,ACEMID MIA,test
ISIC_0092176.jpg,0,ACEMID MIA,test
ISIC_0092600.jpg,0,ACEMID MIA,test
ISIC_0092642.jpg,0,ACEMID MIA,test
ISIC_0092993.jpg,0,ACEMID MIA,test
ISIC_0094568.jpg,0,ACEMID MIA,test
ISIC_0094583.jpg,0,ACEMID MIA,test
ISIC_0095327.jpg,0,ACEMID MIA,test
ISIC_0095530.jpg,0,ACEMID MIA,test
ISIC_0096309.jpg,0,ACEMID MIA,test
ISIC_0096314.jpg,0,ACEMID MIA,test
ISIC_0096362.jpg,0,ACEMID MIA,test
ISIC_0097106.jpg,0,ACEMID MIA,test
ISIC_0097841.jpg,0,ACEMID MIA,test
ISIC_0097858.jpg,0,ACEMID MIA,test
ISIC_0098556.jpg,0,ACEMID MIA,test
ISIC_0098828.jpg,0,ACEMID MIA,test
ISIC_0098842.jpg,0,ACEMID MIA,test
